"2021-01-02 18:51:30,624",87,27900,55.6,147,0.075612
"2021-01-02 18:51:38,685",88,28287,31.6,75,0.075319
"2021-01-02 18:51:45,967",89,28625,28.0,68,0.075065
"2021-01-02 18:51:51,305",90,28882,21.3,49,0.074872
"2021-01-02 18:51:55,837",91,29106,19.4,41,0.074704
"2021-01-02 18:52:08,282",92,29674,46.0,119,0.074280
"2021-01-02 18:52:19,100",93,30132,33.9,102,0.073941
"2021-01-02 18:52:24,677",94,30375,18.7,51,0.073761
"2021-01-02 18:52:31,739",95,30701,26.6,65,0.073520
"2021-01-02 18:52:46,136",96,31385,56.3,131,0.073019
"2021-01-02 18:52:51,921",97,31675,24.9,49,0.072807
"2021-01-02 18:53:01,224",98,32111,34.7,87,0.072490
"2021-01-02 18:53:33,712",99,33575,116.1,339,0.071437
"2021-01-02 18:53:38,264",100,33798,19.3,41,0.071278
"2021-01-02 18:53:46,613",101,34159,27.0,78,0.071020
"2021-01-02 18:54:06,466",102,35055,70.5,196,0.070387
"2021-01-02 18:54:11,066",103,35283,19.6,42,0.070226
"2021-01-02 18:54:25,832",104,35985,56.8,142,0.069735
"2021-01-02 18:54:30,362",105,36203,17.2,41,0.069583
"2021-01-02 18:54:36,826",106,36510,24.3,59,0.069369
"2021-01-02 18:54:42,929",107,36800,23.5,56,0.069168
"2021-01-02 18:54:53,431",108,37090,21.5,99,0.068967
"2021-01-02 18:55:02,181",109,37333,18.1,82,0.068799
"2021-01-02 18:55:21,965",110,37888,44.4,195,0.068418
"2021-01-02 18:55:38,019",111,38618,57.0,156,0.067921
"2021-01-02 18:55:57,051",112,39498,70.3,186,0.067326
"2021-01-02 18:56:11,793",113,40165,51.9,142,0.066878
"2021-01-02 18:56:21,845",114,40623,36.3,95,0.066572
"2021-01-02 18:56:49,456",115,41863,96.7,282,0.065753
"2021-01-02 18:56:54,034",116,42079,18.0,42,0.065610
"2021-01-02 18:57:00,238",117,42361,22.2,57,0.065425
"2021-01-02 18:57:05,711",118,42618,21.3,50,0.065257
"2021-01-02 18:57:11,846",119,42908,24.4,57,0.065068
"2021-01-02 18:57:34,294",120,43925,77.8,224,0.064410
"2021-01-02 18:57:46,616",121,44477,44.2,117,0.064055
"2021-01-02 18:58:15,776",122,45834,110.5,300,0.063192
"2021-01-02 18:58:32,956",123,46594,59.3,165,0.062714
"2021-01-02 18:58:45,308",124,47151,44.4,118,0.062365
"2021-01-02 18:58:52,516",125,47470,24.4,67,0.062167
